ticket_id,customer_id,customer_name,channel,issue_category,priority,agent_name,city,created_date,resolved_date,first_response_minutes,resolution_time_hours,ticket_status,csat_score,refund_amount_sar
TCK-000035,CUST-78398,Sultan Al-Balawi,Email,General Inquiry,Medium,Mohammed Al-Harbi,Mecca,09-07-2025,11-07-2025,118,65.9,Resolved,5,0.00
TCK-000036,CUST-54619,Mohammed Al-Anazi,Live Chat,General Inquiry,High,Khalid Al-Ghamdi,Tabuk,16-06-2025,16-06-2025,34,3.1,Resolved,5,0.00
TCK-000037,CUST-32173,Noura Al-Anazi,Phone,Account Management,Low,Sara Al-Dossari,Riyadh,21-07-2024,25-07-2024,200,101.8,Resolved,5,0.00
TCK-000038,CUST-77391,Yousef Al-Subaie,Email,General Inquiry,High,Yousef Al-Malki,Medina,13-06-2024,14-06-2024,32,26.5,Resolved,4,0.00
TCK-000039,CUST-60794,Aisha Al-Ghamdi,WhatsApp,Billing,Medium,Maha Al-Balawi,Mecca,13-09-2025,13-09-2025,243,20.5,Resolved,3,1337.05
TCK-000040,CUST-24215,Hessa Al-Mutairi,Phone,Billing,Medium,Yousef Al-Malki,Jeddah,26-05-2026,29-05-2026,97,91.9,Resolved,5,0.00
TCK-000041,CUST-87096,Yousef Al-Rashidi,Email,Technical Support,Low,Reem Al-Mutairi,Jeddah,02-01-2026,09-01-2026,625,184.2,Resolved,3,0.00
TCK-000042,CUST-58932,Khalid Al-Dossari,Live Chat,Technical Support,Low,Mohammed Al-Harbi,Dammam,14-08-2026,16-08-2026,576,54.7,Resolved,4,0.00
TCK-000043,CUST-94150,Sultan Al-Dossari,Email,Complaint,Medium,Khalid Al-Ghamdi,Dammam,18-08-2024,20-08-2024,61,71.5,Closed,5,0.00
TCK-000044,CUST-28960,Sultan Al-Zahrani,Live Chat,Technical Support,Low,Fahad Al-Otaibi,Jeddah,06-01-2026,08-01-2026,245,69.3,Resolved,5,0.00
TCK-000045,CUST-33385,Abdullah Al-Zahrani,Phone,General Inquiry,Low,Huda Al-Anazi,Mecca,08-04-2026,17-04-2026,399,223.5,Resolved,3,0.00
TCK-000046,CUST-56118,Mohammed Al-Malki,Phone,Complaint,Medium,Sara Al-Dossari,Jeddah,14-11-2024,16-11-2024,23,58.4,Resolved,4,2895.58
TCK-000047,CUST-94844,Hessa Al-Balawi,Social Media,Account Management,High,Abdullah Al-Zahrani,Riyadh,26-01-2026,26-01-2026,55,5.2,Closed,5,0.00
TCK-000048,CUST-86694,Reem Al-Shehri,WhatsApp,General Inquiry,Medium,Noura Al-Shammari,Riyadh,23-05-2024,25-05-2024,47,65.6,Closed,4,0.00
TCK-000049,CUST-11913,Reem Al-Harbi,Social Media,Delivery Issue,Medium,Yousef Al-Malki,Medina,22-08-2025,Not Resolved,239,0.0,Open,0,0.00
TCK-000050,CUST-11795,Faisal Al-Balawi,Live Chat,Billing,Medium,Maha Al-Balawi,Jeddah,15-04-2026,15-04-2026,278,21.3,Resolved,1,0.00
TCK-000051,CUST-34090,Noura Al-Malki,Live Chat,Technical Support,Medium,Noura Al-Shammari,Medina,17-06-2026,20-06-2026,158,79.9,Resolved,5,0.00
TCK-000052,CUST-98972,Fahad Al-Anazi,Branch,Complaint,Low,Abdullah Al-Zahrani,Mecca,20-08-2026,21-08-2026,159,38.1,Resolved,4,0.00
TCK-000053,CUST-26362,Sara Al-Qahtani,Phone,Billing,High,Abdullah Al-Zahrani,Medina,01-06-2026,Not Resolved,28,0.0,Escalated,0,0.00
TCK-000054,CUST-17335,Turki Al-Shehri,Email,Technical Support,Low,Lama Al-Rashidi,Buraidah,30-07-2024,31-07-2024,306,43.1,Resolved,4,0.00
TCK-000055,CUST-22356,Aisha Al-Dossari,Phone,Complaint,Critical,Khalid Al-Ghamdi,Jeddah,31-03-2026,Not Resolved,11,0.0,Pending,0,0.00
TCK-000056,CUST-72007,Bandar Al-Zahrani,WhatsApp,Technical Support,High,Fahad Al-Otaibi,Riyadh,09-11-2024,10-11-2024,64,42.4,Resolved,5,0.00
TCK-000057,CUST-38816,Khalid Al-Mutairi,Branch,Technical Support,High,Khalid Al-Ghamdi,Tabuk,18-06-2025,19-06-2025,7,26.6,Resolved,5,0.00
TCK-000058,CUST-98656,Sultan Al-Qahtani,Phone,General Inquiry,Medium,Noura Al-Shammari,Jeddah,13-08-2024,13-08-2024,43,20.6,Closed,2,0.00
TCK-000059,CUST-98215,Maha Al-Rashidi,Email,Account Management,Low,Noura Al-Shammari,Riyadh,13-03-2025,Not Resolved,707,0.0,Pending,0,0.00
TCK-000060,CUST-34440,Bandar Al-Mutairi,Live Chat,Account Management,High,Reem Al-Mutairi,Mecca,09-09-2024,Not Resolved,20,0.0,Pending,0,0.00
TCK-000061,CUST-13568,Turki Al-Dossari,Phone,General Inquiry,Low,Reem Al-Mutairi,Medina,07-12-2025,11-12-2025,102,100.1,Resolved,3,0.00
TCK-000062,CUST-84280,Lama Al-Balawi,Email,General Inquiry,High,Huda Al-Anazi,Dammam,20-02-2025,20-02-2025,50,23.2,Closed,4,0.00
TCK-000063,CUST-46339,Sara Al-Subaie,Phone,Technical Support,Critical,Abdullah Al-Zahrani,Riyadh,20-02-2026,Not Resolved,8,0.0,Escalated,0,0.00
TCK-000064,CUST-89650,Dana Al-Harbi,Email,General Inquiry,Medium,Noura Al-Shammari,Jeddah,26-02-2024,28-02-2024,104,55.1,Resolved,5,0.00
TCK-000065,CUST-15040,Fahad Al-Balawi,Live Chat,Delivery Issue,Medium,Yousef Al-Malki,Dammam,09-03-2025,13-03-2025,198,112.1,Closed,1,0.00
TCK-000066,CUST-83559,Hessa Al-Rashidi,Social Media,General Inquiry,Low,Noura Al-Shammari,Riyadh,14-02-2025,17-02-2025,63,72.9,Resolved,2,0.00
TCK-000067,CUST-12696,Yousef Al-Zahrani,Phone,Account Management,Low,Lama Al-Rashidi,Riyadh,09-02-2024,10-02-2024,332,25.9,Resolved,5,0.00
TCK-000068,CUST-64350,Turki Al-Harbi,WhatsApp,Delivery Issue,Critical,Mohammed Al-Harbi,Jeddah,12-10-2024,Not Resolved,10,0.0,Pending,0,0.00
TCK-000069,CUST-56582,Abdullah Al-Rashidi,Email,Billing,Low,Yousef Al-Malki,Riyadh,23-04-2024,29-04-2024,412,157.7,Resolved,5,3240.71
TCK-000070,CUST-95074,Lama Al-Subaie,Social Media,Refund Request,Medium,Khalid Al-Ghamdi,Tabuk,11-04-2025,Not Resolved,74,0.0,Open,0,0.00
TCK-000071,CUST-67916,Hessa Al-Anazi,Branch,Billing,Medium,Mohammed Al-Harbi,Riyadh,17-03-2026,18-03-2026,229,45.1,Closed,4,363.02
TCK-000072,CUST-85207,Mohammed Al-Mutairi,Email,General Inquiry,Medium,Faisal Al-Shehri,Riyadh,13-02-2025,Not Resolved,110,0.0,Open,0,0.00
TCK-000073,CUST-43487,Abdullah Al-Ghamdi,Phone,Complaint,Medium,Abdullah Al-Zahrani,Dammam,21-11-2024,24-11-2024,45,73.2,Resolved,5,0.00
TCK-000074,CUST-39345,Bandar Al-Balawi,Email,Technical Support,Low,Noura Al-Shammari,Riyadh,23-08-2026,24-08-2026,150,39.3,Resolved,3,0.00
TCK-000075,CUST-33924,Maha Al-Mutairi,Phone,Technical Support,Critical,Lama Al-Rashidi,Abha,29-10-2026,Not Resolved,26,0.0,Pending,0,0.00
TCK-000076,CUST-23563,Yousef Al-Rashidi,Email,General Inquiry,High,Lama Al-Rashidi,Jeddah,11-12-2025,12-12-2025,64,46.3,Closed,1,0.00
TCK-000077,CUST-27057,Bandar Al-Zahrani,Phone,Refund Request,Critical,Huda Al-Anazi,Jeddah,08-11-2024,08-11-2024,19,10.6,Resolved,3,3162.28
TCK-000078,CUST-12751,Nasser Al-Qahtani,Email,Complaint,High,Huda Al-Anazi,Buraidah,26-08-2024,26-08-2024,60,15.1,Resolved,4,0.00
TCK-000079,CUST-19562,Abdullah Al-Harbi,Phone,Billing,Medium,Abdullah Al-Zahrani,Mecca,29-06-2024,30-06-2024,46,36.9,Resolved,5,0.00
TCK-000080,CUST-11630,Khalid Al-Shehri,Phone,Billing,Medium,Sara Al-Dossari,Medina,12-09-2026,14-09-2026,186,59.1,Closed,3,0.00
TCK-000081,CUST-98797,Sara Al-Otaibi,Branch,Complaint,High,Yousef Al-Malki,Khobar,09-06-2026,Not Resolved,50,0.0,Pending,0,0.00
TCK-000082,CUST-15591,Mohammed Al-Dossari,Phone,Billing,High,Khalid Al-Ghamdi,Jeddah,17-10-2024,17-10-2024,47,13.0,Closed,4,0.00
TCK-000083,CUST-71051,Nasser Al-Shehri,Live Chat,Complaint,Medium,Faisal Al-Shehri,Riyadh,18-05-2026,21-05-2026,160,91.5,Resolved,4,0.00
TCK-000084,CUST-24105,Ahmed Al-Shehri,WhatsApp,Technical Support,Critical,Lama Al-Rashidi,Jeddah,20-03-2026,20-03-2026,27,1.4,Closed,4,0.00
TCK-000085,CUST-90588,Abdullah Al-Qahtani,Email,Billing,Low,Turki Al-Subaie,Medina,04-09-2026,11-09-2026,62,188.3,Resolved,4,3054.52
TCK-000086,CUST-53169,Lama Al-Mutairi,Phone,Complaint,Medium,Reem Al-Mutairi,Jeddah,10-08-2024,13-08-2024,279,85.0,Resolved,1,0.00
TCK-000087,CUST-50982,Noura Al-Harbi,Live Chat,Delivery Issue,High,Mohammed Al-Harbi,Tabuk,17-02-2025,17-02-2025,14,2.9,Resolved,1,0.00
TCK-000088,CUST-40410,Hessa Al-Dossari,Email,Refund Request,High,Faisal Al-Shehri,Jeddah,24-11-2024,Not Resolved,54,0.0,Pending,0,0.00
TCK-000089,CUST-14333,Sultan Al-Otaibi,Live Chat,Account Management,Low,Maha Al-Balawi,Medina,09-03-2026,Not Resolved,55,0.0,Pending,0,0.00
TCK-000090,CUST-10260,Yousef Al-Harbi,WhatsApp,Complaint,Critical,Faisal Al-Shehri,Riyadh,06-02-2026,Not Resolved,21,0.0,Escalated,0,0.00
TCK-000091,CUST-80201,Sultan Al-Ghamdi,Phone,Account Management,High,Faisal Al-Shehri,Riyadh,29-09-2026,29-09-2026,35,20.4,Resolved,3,0.00
TCK-000092,CUST-66146,Mohammed Al-Qahtani,Live Chat,Technical Support,Medium,Abdullah Al-Zahrani,Riyadh,05-05-2026,09-05-2026,76,118.5,Resolved,4,0.00
TCK-000093,CUST-42257,Aisha Al-Shammari,Live Chat,Complaint,High,Sara Al-Dossari,Riyadh,10-11-2024,10-11-2024,75,16.2,Resolved,5,3155.01
TCK-000094,CUST-32134,Dana Al-Mutairi,Phone,Billing,Medium,Maha Al-Balawi,Dammam,01-03-2024,03-03-2024,109,51.2,Closed,4,333.35
TCK-000095,CUST-48068,Huda Al-Zahrani,Live Chat,General Inquiry,Low,Noura Al-Shammari,Jeddah,09-08-2024,18-08-2024,389,239.9,Resolved,4,0.00
TCK-000096,CUST-94515,Reem Al-Ghamdi,Live Chat,Account Management,High,Fahad Al-Otaibi,Mecca,11-11-2024,Not Resolved,60,0.0,Escalated,0,0.00
TCK-000097,CUST-89512,Dana Al-Anazi,Live Chat,Delivery Issue,Medium,Khalid Al-Ghamdi,Riyadh,22-01-2025,22-01-2025,251,17.9,Resolved,4,0.00
TCK-000098,CUST-31193,Reem Al-Subaie,Email,Account Management,Low,Faisal Al-Shehri,Khobar,30-10-2025,01-11-2025,72,56.1,Resolved,4,0.00
TCK-000099,CUST-61451,Sara Al-Mutairi,WhatsApp,Technical Support,High,Yousef Al-Malki,Riyadh,22-04-2024,22-04-2024,45,7.1,Closed,4,0.00
TCK-000100,CUST-50220,Abdullah Al-Dossari,Live Chat,Billing,Low,Noura Al-Shammari,Dammam,22-02-2025,Not Resolved,686,0.0,Open,0,0.00
TCK-000101,CUST-21682,Fahad Al-Ghamdi,Live Chat,General Inquiry,Medium,Fahad Al-Otaibi,Riyadh,14-09-2025,14-09-2025,41,6.4,Resolved,5,0.00
TCK-000102,CUST-68490,Mohammed Al-Dossari,Social Media,Billing,Medium,Noura Al-Shammari,Abha,17-10-2025,17-10-2025,238,19.8,Resolved,5,0.00
TCK-000103,CUST-81829,Dana Al-Subaie,Live Chat,Billing,Medium,Fahad Al-Otaibi,Riyadh,02-08-2026,Not Resolved,192,0.0,Pending,0,0.00
TCK-000104,CUST-64841,Bandar Al-Balawi,Phone,Account Management,High,Turki Al-Subaie,Riyadh,28-01-2024,29-01-2024,61,41.9,Closed,2,0.00
TCK-000105,CUST-85797,Khalid Al-Shehri,Social Media,Billing,Low,Sara Al-Dossari,Dammam,12-03-2024,20-03-2024,182,208.2,Resolved,5,0.00
TCK-000106,CUST-50957,Reem Al-Mutairi,WhatsApp,General Inquiry,Medium,Lama Al-Rashidi,Riyadh,26-09-2025,28-09-2025,122,48.0,Closed,5,0.00
TCK-000107,CUST-22778,Maha Al-Qahtani,Phone,Billing,Medium,Mohammed Al-Harbi,Riyadh,07-08-2026,07-08-2026,206,13.6,Closed,3,3658.29
TCK-000108,CUST-16747,Reem Al-Malki,WhatsApp,Complaint,Medium,Lama Al-Rashidi,Riyadh,09-10-2024,12-10-2024,131,84.3,Resolved,2,0.00
TCK-000109,CUST-50974,Bandar Al-Rashidi,Social Media,Complaint,Critical,Khalid Al-Ghamdi,Dammam,08-03-2024,08-03-2024,11,8.5,Closed,3,0.00
TCK-000110,CUST-89484,Mohammed Al-Malki,Live Chat,General Inquiry,Critical,Huda Al-Anazi,Jeddah,14-10-2026,14-10-2026,12,7.7,Resolved,3,0.00
TCK-000111,CUST-71129,Khalid Al-Shehri,WhatsApp,Billing,Medium,Lama Al-Rashidi,Mecca,03-05-2025,05-05-2025,114,62.5,Resolved,5,4297.03
TCK-000112,CUST-22231,Dana Al-Qahtani,Social Media,Technical Support,Low,Reem Al-Mutairi,Jeddah,21-01-2025,21-01-2025,340,20.8,Resolved,2,0.00
TCK-000113,CUST-29637,Huda Al-Zahrani,Phone,Delivery Issue,Medium,Lama Al-Rashidi,Buraidah,12-04-2025,Not Resolved,205,0.0,Escalated,0,0.00
TCK-000114,CUST-82107,Mohammed Al-Shammari,Branch,Technical Support,Low,Khalid Al-Ghamdi,Riyadh,12-02-2026,18-02-2026,351,155.4,Closed,4,0.00
TCK-000115,CUST-27543,Ahmed Al-Balawi,Phone,General Inquiry,Critical,Yousef Al-Malki,Jeddah,23-01-2024,23-01-2024,5,10.2,Resolved,3,0.00
TCK-000116,CUST-67770,Bandar Al-Malki,Phone,Technical Support,Medium,Abdullah Al-Zahrani,Medina,07-03-2026,Not Resolved,136,0.0,Open,0,0.00
TCK-000117,CUST-28436,Lama Al-Balawi,Phone,Technical Support,Medium,Fahad Al-Otaibi,Dammam,27-07-2026,29-07-2026,250,52.9,Resolved,3,0.00
TCK-000118,CUST-83682,Huda Al-Harbi,Live Chat,General Inquiry,Medium,Khalid Al-Ghamdi,Jeddah,01-12-2025,Not Resolved,22,0.0,Pending,0,0.00
TCK-000119,CUST-23006,Turki Al-Harbi,Live Chat,Complaint,High,Ahmed Al-Qahtani,Dammam,12-09-2026,Not Resolved,54,0.0,Pending,0,0.00
TCK-000120,CUST-32408,Ahmed Al-Subaie,Email,Technical Support,Medium,Mohammed Al-Harbi,Mecca,30-09-2024,03-10-2024,257,78.1,Resolved,5,0.00
TCK-000121,CUST-48953,Dana Al-Balawi,Social Media,Technical Support,Low,Khalid Al-Ghamdi,Medina,07-04-2026,09-04-2026,453,66.3,Resolved,5,0.00
TCK-000122,CUST-44740,Reem Al-Zahrani,Live Chat,Billing,High,Abdullah Al-Zahrani,Mecca,11-11-2025,11-11-2025,84,7.5,Closed,2,1351.99
TCK-000123,CUST-66836,Huda Al-Harbi,Email,Delivery Issue,Medium,Khalid Al-Ghamdi,Riyadh,08-05-2024,Not Resolved,192,0.0,Pending,0,0.00
TCK-000124,CUST-55120,Dana Al-Rashidi,WhatsApp,Technical Support,Medium,Khalid Al-Ghamdi,Jeddah,18-10-2025,22-10-2025,15,119.6,Resolved,5,0.00
TCK-000125,CUST-28623,Huda Al-Subaie,Phone,Complaint,Medium,Khalid Al-Ghamdi,Buraidah,02-05-2024,02-05-2024,269,16.3,Resolved,5,2546.63
TCK-000126,CUST-77836,Lama Al-Harbi,Live Chat,Billing,Medium,Reem Al-Mutairi,Jeddah,22-02-2026,Not Resolved,235,0.0,Pending,0,0.00
TCK-000127,CUST-76497,Sara Al-Malki,Live Chat,Account Management,Medium,Huda Al-Anazi,Riyadh,26-01-2025,29-01-2025,202,77.5,Resolved,3,0.00
TCK-000128,CUST-33797,Bandar Al-Shehri,Live Chat,Delivery Issue,High,Huda Al-Anazi,Dammam,15-10-2026,15-10-2026,46,9.2,Closed,3,2671.78
TCK-000129,CUST-80869,Sara Al-Dossari,Social Media,Technical Support,Low,Lama Al-Rashidi,Jeddah,09-08-2025,Not Resolved,694,0.0,Open,0,0.00
TCK-000130,CUST-85277,Maha Al-Otaibi,Phone,Account Management,Medium,Abdullah Al-Zahrani,Khobar,06-05-2024,09-05-2024,286,90.8,Resolved,4,0.00
TCK-000131,CUST-14280,Sultan Al-Mutairi,Phone,Delivery Issue,Low,Fahad Al-Otaibi,Jeddah,15-02-2026,16-02-2026,469,29.9,Closed,4,381.75
TCK-000132,CUST-90047,Mohammed Al-Shammari,Live Chat,Technical Support,High,Abdullah Al-Zahrani,Riyadh,15-11-2025,16-11-2025,65,25.9,Closed,5,0.00
TCK-000133,CUST-43623,Nasser Al-Malki,WhatsApp,Billing,Medium,Fahad Al-Otaibi,Riyadh,07-02-2024,10-02-2024,18,79.9,Resolved,5,0.00
TCK-000134,CUST-38739,Faisal Al-Anazi,Phone,General Inquiry,Medium,Turki Al-Subaie,Jeddah,22-07-2025,24-07-2025,226,69.6,Resolved,3,0.00
TCK-000135,CUST-55902,Noura Al-Subaie,Email,Refund Request,Medium,Ahmed Al-Qahtani,Jeddah,26-07-2026,Not Resolved,216,0.0,Pending,0,0.00
TCK-000136,CUST-60996,Faisal Al-Anazi,Live Chat,Account Management,Low,Lama Al-Rashidi,Riyadh,26-02-2024,28-02-2024,31,53.7,Closed,1,0.00
TCK-000137,CUST-82539,Yousef Al-Dossari,Phone,Account Management,Medium,Turki Al-Subaie,Riyadh,30-10-2026,02-11-2026,67,73.7,Resolved,4,0.00
TCK-000138,CUST-41595,Reem Al-Shehri,WhatsApp,General Inquiry,Medium,Ahmed Al-Qahtani,Tabuk,25-09-2025,Not Resolved,174,0.0,Pending,0,0.00
TCK-000139,CUST-30073,Aisha Al-Qahtani,Branch,Complaint,Medium,Reem Al-Mutairi,Dammam,22-04-2026,24-04-2026,57,59.7,Resolved,3,890.19
TCK-000140,CUST-78463,Maha Al-Shehri,Live Chat,Technical Support,Medium,Maha Al-Balawi,Riyadh,10-10-2026,13-10-2026,187,81.5,Closed,1,0.00
TCK-000141,CUST-62770,Faisal Al-Dossari,WhatsApp,Billing,Low,Huda Al-Anazi,Riyadh,31-01-2025,04-02-2025,711,113.0,Resolved,5,0.00
TCK-000142,CUST-61888,Yousef Al-Subaie,Branch,Refund Request,Critical,Maha Al-Balawi,Medina,18-01-2026,18-01-2026,15,11.5,Resolved,3,0.00
TCK-000143,CUST-64083,Huda Al-Dossari,Branch,General Inquiry,Low,Sara Al-Dossari,Khobar,03-10-2024,11-10-2024,216,199.7,Resolved,5,0.00
TCK-000144,CUST-65472,Sara Al-Balawi,Email,Account Management,Low,Lama Al-Rashidi,Jeddah,13-09-2024,Not Resolved,250,0.0,Open,0,0.00
TCK-000145,CUST-19211,Turki Al-Shammari,Live Chat,Technical Support,Low,Turki Al-Subaie,Khobar,30-09-2026,09-10-2026,115,223.1,Resolved,4,0.00
TCK-000146,CUST-95354,Faisal Al-Zahrani,Social Media,General Inquiry,Low,Khalid Al-Ghamdi,Medina,05-07-2025,12-07-2025,657,187.4,Closed,5,0.00
TCK-000147,CUST-67075,Nasser Al-Shehri,Email,General Inquiry,Medium,Fahad Al-Otaibi,Riyadh,29-03-2024,02-04-2024,100,114.0,Closed,2,0.00
TCK-000148,CUST-39137,Nasser Al-Mutairi,Phone,Account Management,Low,Reem Al-Mutairi,Jeddah,20-05-2026,21-05-2026,225,39.2,Resolved,5,0.00
TCK-000149,CUST-29870,Lama Al-Harbi,Email,Billing,Medium,Sara Al-Dossari,Riyadh,14-02-2025,17-02-2025,250,77.2,Resolved,2,3660.83
TCK-000150,CUST-55714,Fahad Al-Balawi,WhatsApp,Technical Support,High,Reem Al-Mutairi,Abha,18-07-2024,19-07-2024,65,25.7,Resolved,5,0.00
TCK-000151,CUST-73876,Bandar Al-Shammari,WhatsApp,Account Management,Medium,Lama Al-Rashidi,Mecca,26-10-2024,28-10-2024,223,60.0,Resolved,5,0.00
TCK-000152,CUST-24284,Huda Al-Rashidi,WhatsApp,Account Management,Low,Khalid Al-Ghamdi,Riyadh,23-06-2025,27-06-2025,481,108.3,Resolved,5,0.00
TCK-000153,CUST-39480,Yousef Al-Shehri,Email,Billing,High,Khalid Al-Ghamdi,Jeddah,12-08-2024,13-08-2024,52,31.4,Resolved,5,0.00
TCK-000154,CUST-99037,Huda Al-Zahrani,Email,Technical Support,Medium,Faisal Al-Shehri,Medina,01-12-2025,01-12-2025,195,11.3,Resolved,3,0.00
TCK-000155,CUST-66760,Fahad Al-Malki,Phone,Billing,Low,Ahmed Al-Qahtani,Riyadh,02-09-2026,Not Resolved,440,0.0,Pending,0,0.00
TCK-000156,CUST-46670,Sara Al-Zahrani,Email,General Inquiry,Medium,Noura Al-Shammari,Riyadh,15-08-2025,19-08-2025,161,96.1,Resolved,1,0.00
TCK-000157,CUST-93713,Reem Al-Qahtani,Email,Account Management,Low,Maha Al-Balawi,Riyadh,08-12-2025,13-12-2025,39,137.2,Resolved,5,0.00
